"","Date","Pool","Number of Blocks","Percentage of Blocks"
"466",2010-04-20,"Unknown",232,100
"467",2010-04-21,"Unknown",205,100
"468",2010-04-22,"Unknown",219,100
"469",2010-04-23,"Unknown",159,100
"470",2010-04-24,"Unknown",150,100
"471",2010-04-25,"Unknown",168,100
"472",2010-04-26,"Unknown",158,100
"473",2010-04-27,"Unknown",164,100
"474",2010-04-28,"Unknown",180,100
"475",2010-04-29,"Unknown",180,100
"476",2010-04-30,"Unknown",147,100
"477",2010-05-01,"Unknown",144,100
"478",2010-05-02,"Unknown",183,100
"479",2010-05-03,"Unknown",155,100
"480",2010-05-04,"Unknown",159,100
"481",2010-05-05,"Unknown",136,100
"482",2010-05-06,"Unknown",137,100
"483",2010-05-07,"Unknown",149,100
"484",2010-05-08,"Unknown",132,100
"485",2010-05-09,"Unknown",154,100
"486",2010-05-10,"Unknown",143,100
"487",2010-05-11,"Unknown",128,100
"488",2010-05-12,"Unknown",111,100
"489",2010-05-13,"Unknown",127,100
"490",2010-05-14,"Unknown",128,100
"491",2010-05-15,"Unknown",123,100
"492",2010-05-16,"Unknown",91,100
"493",2010-05-17,"Unknown",113,100
"494",2010-05-18,"Unknown",143,100
"495",2010-05-19,"Unknown",168,100
"496",2010-05-20,"Unknown",164,100
"497",2010-05-21,"Unknown",203,100
"498",2010-05-22,"Unknown",176,100
"499",2010-05-23,"Unknown",195,100
"500",2010-05-24,"Unknown",211,100
"501",2010-05-25,"Unknown",188,100
"502",2010-05-26,"Unknown",210,100
"503",2010-05-27,"Unknown",223,100
"504",2010-05-28,"Unknown",192,100
"505",2010-05-29,"Unknown",223,100
"506",2010-05-30,"Unknown",184,100
"507",2010-05-31,"Unknown",149,100
"508",2010-06-01,"Unknown",142,100
"509",2010-06-02,"Unknown",135,100
"510",2010-06-03,"Unknown",147,100
"511",2010-06-04,"Unknown",152,100
"512",2010-06-05,"Unknown",125,100
"513",2010-06-06,"Unknown",145,100
"514",2010-06-07,"Unknown",148,100
"515",2010-06-08,"Unknown",157,100
"516",2010-06-09,"Unknown",160,100
"517",2010-06-10,"Unknown",168,100
"518",2010-06-11,"Unknown",160,100
"519",2010-06-12,"Unknown",168,100
"520",2010-06-13,"Unknown",135,100
